
Google  Inc.,Last: 2670.01,Change:  -20.38
Date: 2022年2月28日 GMT-5 15:49,Bid: 2666.8101,Ask: 2671.3799,Size: 1*1,"Volume: 510,752"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 20 2023,GOOG230120C00720000,2093.07,0,1955.4,1970.5,0,0.5421,1,0,266,720.00,GOOG230120P00720000,1.2,0,0.2,1.2,0,0.5209,-0.0014,0,212
Fri Jan 20 2023,GOOG230120C00740000,2182.35,0,1935.7,1950.8,0,0.5352,1,0,192,740.00,GOOG230120P00740000,0.75,0,0.1,1.3,0,0.5108,-0.0016,0,103
Fri Jan 20 2023,GOOG230120C00760000,2186.96,0,1916,1931.1,0,0.533,0.9998,0,182,760.00,GOOG230120P00760000,0.7,0,0.4,0.95,0,0.4988,-0.0018,0,70
Fri Jan 20 2023,GOOG230120C00780000,0,0,1896.3,1911.5,0,0.5258,0.9996,0,156,780.00,GOOG230120P00780000,4.35,0,0.1,1.5,0,0.4973,-0.0021,0,16
Fri Jan 20 2023,GOOG230120C00800000,1961.9,0,1876.7,1891.8,0,0.5302,0.9993,0,71,800.00,GOOG230120P00800000,1.16,0,0.15,1.5,0,0.4891,-0.0024,0,93
Fri Jan 20 2023,GOOG230120C00820000,2132,0,1857,1872.1,0,0.517,0.999,0,166,820.00,GOOG230120P00820000,0,0,0.25,1.75,0,0.4895,-0.0026,0,13
Fri Jan 20 2023,GOOG230120C00840000,2065.5,0,1837.4,1852.5,0,0.513,0.9987,0,124,840.00,GOOG230120P00840000,0,0,0.35,1.9,0,0.4864,-0.0029,0,12
Fri Jan 20 2023,GOOG230120C00860000,2034.5,0,1817.8,1832.9,0,0.5086,0.9984,0,93,860.00,GOOG230120P00860000,2.8,0,0.5,2.05,0,0.4835,-0.0033,0,28
Fri Jan 20 2023,GOOG230120C00880000,0,0,1798.2,1813.3,0,0.5039,0.998,0,72,880.00,GOOG230120P00880000,0,0,0.65,2.25,0,0.4812,-0.0037,0,20
Fri Jan 20 2023,GOOG230120C00900000,2019.26,0,1778.7,1793.7,0,0.5056,0.9976,0,75,900.00,GOOG230120P00900000,1.5,0,0.8,2.45,0,0.4783,-0.0041,0,35
Fri Jan 20 2023,GOOG230120C00920000,0,0,1759.1,1774.1,0,0.4964,0.9971,0,71,920.00,GOOG230120P00920000,2.5,0,0.95,2.65,0,0.475,-0.0046,0,23
Fri Jan 20 2023,GOOG230120C00940000,1955,0,1739.6,1754.6,0,0.4922,0.9966,0,67,940.00,GOOG230120P00940000,3.9,0,1.15,2.9,0,0.4728,-0.005,0,37
Fri Jan 20 2023,GOOG230120C00960000,0,0,1720,1735,0,0.4888,0.9961,0,57,960.00,GOOG230120P00960000,3,0,1.35,3.2,0,0.4706,-0.0056,0,49
Fri Jan 20 2023,GOOG230120C00980000,0,0,1700.5,1715.5,0,0.4841,0.9955,0,27,980.00,GOOG230120P00980000,6.6,0,1.55,3.4,0,0.4667,-0.0062,0,30
